Sample,Temperature,Time,mu_lin_avg,mu_lin_sd,r_lin_avg,r_lin_sd,on_off_avg,on_off_sd,vt_avg,vt_sd
150C-5min_1_IdVg_1_Vd-20-1,150,5,0.017188114,0.0001616205476,0.855923247,0.01007613002,23.57473832,0.135451262,-6.251043719,0.3808874781
150C-5min_2_IdVg_2_Vd-20-1,150,5,0.054109004,0.000116622327,0.851194752,0.04263701999,3.73480914,0.6164945971,30.89398625,10.09301671
150C-5min_2_IdVg_3_Vd-20-1,150,5,0.044624334,0.0001549753016,0.794293193,0.03293224458,2.296215461,0.006294683373,54.50108141,0.3282186181
150C-5min_2_IdVg_4_Vd-20-1,150,5,0.050997866,0.0008723368361,0.891074951,0.01402687254,2.678714859,0.0032128515,47.45450096,1.645756784
150C-10min_3_IdVg_2_Vd-20-1,150,10,0.022597108,0.00034118518,0.856578805,0.01940379919,29.25938287,0.1958052045,-7.435782554,1.130673125
150C-10min_3_IdVg_4_Vd-20-1,150,10,0.025734515,0.0002865013609,0.857024308,0.01178760371,86.28013811,1.938378416,-9.333185294,0.7633135998
150C-10min_3_IdVg_5_Vd-20-1,150,10,0.015609893,0.00007814364867,0.821013014,0.009150966587,36.39881774,0.1138570205,-11.20748396,0.7612879269
150C-10min_4_IdVg_2_Vd-20-1,150,10,0.017993275,0.00001941434007,0.826060747,0.006348922344,26.72346323,0.2097683642,-9.579345478,0.4484253794
150C-10min_4_IdVg_3_Vd-20-1,150,10,0.015864438,0.0006676501266,0.77742001,0.03133572351,67.60470636,0.1675191096,-14.86245072,2.034270145
150C-10min_4_IdVg_5_Vd-20-1,150,10,0.00080964,0.00002053803694,0.745785896,0.02115827547,2654.557242,462.18026,-8.098860774,0.7371899506
150C-15min_5_IdVg_1_Vd-20-1,150,15,0.032781195,0.0009319917653,0.840069697,0.0219574597,41.17689326,0.6089392683,-10.07336427,1.409083908
150C-15min_5_IdVg_2_Vd-20-1,150,15,0.040444246,0.00008861400082,0.843088173,0.004307381653,12.86762634,0.03619247289,-3.377540956,0.1968429494
150C-15min_5_IdVg_3_Vd-20,150,15,0.038131766,0.0004486270975,0.842141376,0.00890584949,34.35703011,0.5274688161,-8.235802434,0.681851103
150C-15min_5_IdVg_4_Vd-20,150,15,0.02379992,0.003347717961,0.747125933,0.05989043575,64384.34563,55652.96103,-21.56860655,5.96937494
150C-15min_5_IdVg_5_Vd-20,150,15,0.020217286,0.000275856209,0.808018455,0.01189267957,126.7948973,2.342423247,-15.23842518,0.684601199
150C-15min_6_IdVg_2_Vd-20,150,15,0.025426773,0.0002448403928,0.848720376,0.007728274367,7.81285698,0.01032073578,1.801744225,0.4442176145
150C-15min_6_IdVg_3_Vd-20,150,15,0.027644217,0.0002597553119,0.839872999,0.004124703446,14.80660083,0.03636518673,-5.279124599,0.3804176818
150C-15min_6_IdVg_5_Vd-20,150,15,0.000830295,0.000005500735799,0.93665802,0.005885710339,6.669358791,0.01976965036,20.13725556,0.2210363773
150C-30min_7_IdVg_1_Vd-20,150,30,0.005817537667,0.000102348044,0.856196085,0.01863639685,3.215350852,0.004276495385,40.33841206,1.528429426
150C-30min_7_IdVg_2_Vd-20,150,30,0.013063859,0.00007501521234,0.484691754,0.03345560972,30.12957223,1.335677025,-2.194585027,0.3100523099
150C-30min_7_IdVg_4_Vd-20,150,30,0.008670526,0.0001358552228,0.781385152,0.0164277421,60.79271902,2.219815952,-10.45322203,1.017032009
150C-30min_8_IdVg_2_Vd-20,150,30,0.009386265,0.0002133158206,0.81303299,0.02037976371,84.16377876,2.269329696,-5.549201721,1.020826825
150C-30min_8_IdVg_3_Vd-20,150,30,0.012393031,0.0002021824608,0.888170581,0.01234698771,75.31848658,0.7712314821,-7.561281913,0.4462560417
150C-30min_8_IdVg_5_Vd-20,150,30,0.012411513,0.0001378816456,0.833238753,0.007305886071,1004.68404,69.72603131,-16.00388614,0.3506517777
