Sample,Temperature,Time,mu_lin_avg,mu_lin_sd,r_lin_avg,r_lin_sd,on_off_avg,on_off_sd,vt_avg,vt_sd
100C-5min_1_IdVg_3_Vd-20,100,5,0.006162032,0.0002767041278,0.764991722,0.02678003076,64558.51449,3865.39086,-26.7450817,1.712896715
100C-5min_1_IdVg_4_Vd-20,100,5,0.006867739,0.0001010570309,0.739733951,0.01003781556,88830.55824,1595.674008,-32.95814853,0.9264274891
100C-5min_1_IdVg_5_Vd-20,100,5,0.0032694,0.0000730542691,0.7534467,0.005005398675,48189.4675,8418.848858,-32.377049,0.4524667452
100C-10min_3_IdVg_1_Vd-20,100,10,0.02720458,0.0004948639626,0.75193463,0.002914831683,83456.5773,1672.053023,-18.385927,0.2667164057
100C-10min_3_IdVg_3_Vd-20,100,10,0.03841026,0.000741178845,0.74846266,0.001580287872,133461.684,2586.760156,-19.986533,0.1601972831
100C-10min_3_IdVg_5_Vd-20,100,10,0.025188488,0.0001539409046,0.747956408,0.008563700418,132094.097,4613.25352,-20.64842059,0.4047808337
100C-10min_4_IdVg_3_Vd-20,100,10,0.032493407,0.0003500252307,0.732736507,0.001380861876,245995.6098,7239.90439,-21.03531475,0.02348492241
100C-10min_4_IdVg_4_Vd-20,100,10,0.033146078,0.0003659083418,0.740596613,0.004557115887,262816.5111,39757.80128,-20.87224762,0.2144149443
100C-15min_5-IdVg-2-Vd-20,100,15,0.007339948,0.00006221334358,0.667647564,0.002563870616,1975.511556,17.88042608,-27.28137677,0.178377075
100C-15min_5-IdVg-3-Vd-20,100,15,0.003339926,0.0000293591003,0.632949972,0.003394628738,4158.16267,444.452763,-28.00735106,0.5351362569
100C-15min_5-IdVg-4-Vd-20,100,15,0.001211451,0.00003441242555,0.643881851,0.01659544919,271.8054006,4.133956282,-31.45447057,1.075375513
100C-15min_5-IdVg-5-Vd-20,100,15,0.000372044,0.000003466223353,0.661293061,0.004658968074,374.1881686,5.956424618,-32.26816261,0.2122673514
100C-15min_6-IdVg-1-Vd-20,100,15,0.002706524,0.00002851655106,0.7758908,0.002896706076,109.148039,0.4150925119,-14.92912446,0.1660992754
100C-15min_6-IdVg-2-Vd-20,100,15,0.007393259,0.0001836886641,0.754795486,0.001140489699,177.2284745,1.63140636,-18.29350838,0.1430804267
100C-15min_6-IdVg-3-Vd-20,100,15,0.009620912,0.00001552728064,0.736436752,0.002008760469,262.0129969,0.4143234435,-19.5411674,0.05526223164
100C-15min_6-IdVg-4-Vd-20,100,15,0.018125532,0.000169403263,0.791601745,0.01325392697,333.6437048,3.440623013,-12.78314781,0.3412442866
100C-15min_6-IdVg-5-Vd-20,100,15,0.004395454,0.00004150545856,0.717918904,0.01706311892,436.3189053,7.987462328,-22.64321418,0.1959009306
100C-30min_7_IdVg_1_Vd-20,100,30,0.017668208,0.0001476919955,0.760925017,0.00314740539,8591.053967,93.08169875,-18.1481099,0.1926577873
100C-30min_7_IdVg_2_Vd-20,100,30,0.030464997,0.000226125064,0.77656556,0.002696594756,22039.82577,7.987462328,-16.10155686,0.1000818935
100C-30min_8_IdVg_1_Vd-20,100,30,0.007527258,0.00002519147626,0.754103338,0.007656173134,155.1525358,1.52006392,-16.63830461,0.476920468
100C-30min_8_IdVg_4_Vd-20,100,30,0.016128202,0.0002258286768,0.706462512,0.009042705818,7147.30281,15.03323994,-22.7959488,0.8547705108
100C-30min_8_IdVg_5_Vd-20,100,30,0.003696518,0.00006478031485,0.694398901,0.009555572692,3048.845681,11.6130123,-26.50898741,0.8101883136
