# mu_lin, r_lin, on/off, Vt
-0.00151086956522 0.536699280576 -62166.6666667 -62.1726618705
-0.00240322793149 0.309373801431 -42484.4720497 -70.5447767331
-0.00225224232289 0.330113573176 -42484.4720497 -69.2628654033
-0.00225224232289 0.330113573176 -42484.4720497 -69.2628654033
-0.00225224232289 0.330113573176 -42484.4720497 -69.2628654033
-0.00225224232289 0.330113573176 -42484.4720497 -69.2628654033
-0.00225224232289 0.330113573176 -2.35380116959e-05 -69.2628654033
-0.00225224232289 0.330113573176 -42484.4720497 -69.2628654033
-0.00225224232289 0.330113573176 -42484.4720497 -69.2628654033
-0.00257246376812 0.315216338028 -62166.6666667 -69.3521126761
-0.00154347826087 0.349338591549 -8157.89473684 -69.0947503201
-0.000699404761905 0.320194323774 -6912.75167785 -69.916373728
0.024901722673461805 0.9294886891453636 14.775520765946435 -1.2263876416021977
