Sample,Temperature,Time,mu_lin_avg,mu_lin_sd,r_lin_avg,r_lin_sd,on_off_avg,on_off_sd,vt_avg,vt_sd
75C-5min_1-IdVg-2-Vd-20,75,5,0.00217601728,0.0000137643274,0.580171185,0.01343663218,1119.582374,30.7157572,-31.51137624,0.1981342984
75C-5min_1-IdVg-4-Vd-20,75,5,0.004906148441,0.0002587502692,0.5517558384,0.02097235773,892.2580375,4.484375027,-28.97187131,0.461514448
75C-5min_1-IdVg-5-Vd-20,75,5,0.0002658974359,0.000004879744604,0.8148237678,0.01332482757,33.60594877,0.1136584049,-14.59429327,0.6781615421
75C-5min_2-IdVg-1-Vd-20,75,5,0.004642720685,0.00001513292237,0.5573267481,0.002400084731,20.5952844,0.1727565009,-18.5568669,0.166909803
75C-5min_2-IdVg-3-Vd-20,75,5,0.01297657005,0.002372002514,0.5813246036,0.004444099086,619.3472504,1024.656122,-21.05461382,1.348127539
75C-5min_2-IdVg-4-Vd-20,75,5,0.010086853,0.00004957789736,0.5857685523,0.006962600173,1812.113114,15.68519734,-19.17037027,0.1657074975
75C-10min_3-IdVg-1-Vd-20,75,10,0.004610429607,0.00002803927497,0.6352665137,0.003688083394,25.45430381,0.1380824201,-14.30071485,0.4478572797
75C-10min_4-IdVg-1-Vd-20,75,10,0.01803485162,0.00007585435661,0.5687612067,0.009664974741,63.64012447,0.8325110359,-24.93153462,0.4228078975
75C-10min_4-IdVg-2-Vd-20,75,10,0.01965450311,0.0001846745629,0.5861564448,0.003648955959,25.95435125,0.2461837019,-21.94326924,0.5666552903
75C-10min_4-IdVg-3-Vd-20,75,10,0.02419772257,0.0002721916522,0.5945366447,0.005573502514,55.20019923,0.8634729732,-22.75029523,0.5414759666
75C-15min_5-IdVg-3-Vd-20,75,15,0.0157813147,0.000008228837006,0.651812322,0.001270106234,12.98228924,0.04045749629,-12.40769983,0.3184073003
75C-15min_5-IdVg-5-Vd-20,75,15,0.006228623188,0.000009862795354,0.6402920244,0.01627966931,14.06284747,0.36728824,-14.99187233,0.1186937233
75C-15min_6-IdVg-3-Vd-20,75,15,0.0004272800207,0.000006898108783,0.5309460349,0.005293769707,3.314651329,0.03471357043,-14.93243918,0.5930527763
75C-15min_6-IdVg-4-Vd-20,75,15,0.0002878364389,0.000007276254584,0.5984813396,0.00621248224,16.92192751,0.2434475338,-31.13036845,0.4875982503
75C-30min_7-IdVg-1-Vd-20,75,30,0.008244824017,0.0002269543318,0.6468430906,0.008736619906,31.58172027,0.1020487536,-11.55709011,0.7375275471
75C-30min_7-IdVg-2-Vd-20,75,30,0.009838509317,0.0001429330746,0.7105806316,0.01032229284,8.975203715,0.1096361574,-5.863989728,0.7217028254
75C-30min_7-IdVg-3-Vd-20,75,30,0.01348550725,0.00005577827652,0.6914495387,0.001499586251,7.469003587,0.03495715248,-4.085903192,0.2236698028
75C-30min_7-IdVg-4-Vd-20,75,30,0.002932194617,0.00002142256945,0.8206384954,0.007929381844,3.004563866,0.008151840592,39.0793896,0.951261003
75C-30min_8-IdVg-2-Vd-20,75,30,0.004560610766,0.0001150951467,0.6561025471,0.02949388949,20.32119645,0.6084138208,-12.18521673,0.4007037794
75C-30min_8-IdVg-3-Vd-20,75,30,0.008072204969,0.00009395051567,0.7501977582,0.004452096985,22.40530607,0.03081429832,-16.35723621,0.5235918018
75C-30min_8-IdVg-4-Vd-20,75,30,0.008934782609,0.0001387733189,0.7771318247,0.0130761127,7.026952604,0.009189924272,-4.44341242,1.033016364
75C-30min_8-IdVg-5-Vd-20,75,30,0.007939182195,0.00005826237875,0.6842776313,0.1507069691,10.57049157,0.1770592588,-6.843560363,0.3159400143
